Company name,Company domain name,Website URL,Phone number,City,State/Region,Country/Region,FieldCred Tier,FieldCred Trade Category,Trade (as listed),FieldCred Fit Score,Union Signatory,Est Field Workers,Prequal Network,General Company Email,Lead Source Directory,Lead Source URL,FieldCred Notes
Lake State Insulation,smartenergyinsulation.com,https://www.smartenergyinsulation.com,(517) 322-3190,,MI,United States,A — Industrial/turnaround,Insulation,,73,No,,,,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Mechanical Insulation & Asbestos Removal"". Source listed state only, no city. | ENRICH 2026-07-28: Lake State is a division of Smart Energy Insulation (Farmington Hills MI). Branch mgr Bill Drummond, Lansing branch, direct 231-638-2375."
Spink Insulation,spinkinsulation.com,https://www.spinkinsulation.com/,(517) 782-2123,,MI,United States,A — Industrial/turnaround,Insulation,,58,No,,,info@spinkinsulation.com,CAM Buyers Guide – Insulation Contractors category,https://www.cambuyersguide.com/listings/category/44500-insulation-contractors,Name only — no contact detail on category page. | ENRICH 2026-07-28: matched to Spink Insulation of Jackson MI (spinkinsulation.com). No individual named on site. Verify this is the same firm as the MCA listing.
"Coleman Systems, Inc",colemansystemsinc.com,https://www.colemansystemsinc.com,(419) 280-4500,Sylvania,OH,United States,B — Commercial/industrial trade,HVAC & Controls,,59,Yes,,,info@colemansystemsinc.com,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"MCA NWO member | ENRICH 2026-07-28: Own site home + /contact-us checked — no individual names or titles published anywhere. General inbox info@colemansystemsinc.com. Site address 7407 Sylvania Ave, Sylvania OH 43560; phone 419.280.4500 matches record. MCA NWO membership directory lists a different phone, 419-297-1753."
Strause Refrigeration Inc,strauserefrigeration.com,https://www.strauserefrigeration.com,(419) 255-7001,Toledo,OH,United States,B — Commercial/industrial trade,HVAC & Controls,,59,Yes,,,,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"MCA NWO member | ENRICH 2026-07-28: /about-us prints 'Rick Strause — President', second-generation family owner. No email addresses published anywhere on the site; /contact-us shows the phone only. 7944 Central Ave #8, Toledo OH 43617; phone 419.255.7001 matches. Ohio license #30966. Note the canonical domain is strauserefrigeration.com without www."
Avon Lake Sheet Metal,avonlakesheetmetal.com,https://avonlakesheetmetal.com,(440) 933-3505,Avon Lake,OH,United States,B — Commercial/industrial trade,Sheet Metal,,59,No,,,,SMACNA North Central Ohio - Contractor Members,https://www.smacna-nco.com/,"ENRICH 2026-07-28: Own site /about names two second-generation family owners — Carl Wetzig Jr. and Gary Wightman — with no formal titles and no email addresses; /contact publishes phone/fax only. The Construction Employers Association member directory (ceacisp.org, a legitimate association directory) lists Gary Wightman as the single named company contact, which resolved the tie. NO title is published by either source so Contact Title was left blank; no email published anywhere. 33574 Pin Oak Pkwy, Avon Lake OH 44012; phone 440-933-3505 matches. Confirmed on the SMACNA of North Central Ohio member list."
R.W. Welding,rwwelding.com,https://rwwelding.com,(989) 615-2816,Midland,MI,United States,A — Industrial/turnaround,Welding & Fabrication,,73,No,,,,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Structural steel, ASME/AWS certified welding"" — certification-heavy workforce. Strong ICP fit. | ENRICH 2026-07-28: Official site rwwelding.com found (Midland MI confirmed, office 989-615-2816). Contact page prints three first-name mailboxes — rick@, chris@ and lynn@rwwelding.com — with NO names or titles attached to them, so no contact name/email recorded (cannot attribute a person). No general info@ inbox and no safety page. Site confirms AWS certification."
STB Steel Erectors,,,(734) 697-3908,Belleville,MI,United States,A — Industrial/turnaround,Steel Erection,,73,No,,,,ABC Southeastern Michigan member directory (PDF),https://static1.squarespace.com/static/627041bf945c7320b8e0eb78/t/62d6cea14ea9b658391de175/1658244770101/ABC+SEMI+Member+Directory.pdf,Division 05 – Metals. Steel erection = fall-protection cert heavy. | ENRICH 2026-07-28: no company-owned website found (only directory aggregators). No public contact page.
"Laramie Crane Rental, LLC",laramiecrane.com,https://www.laramiecrane.com,(313) 273-4900,,MI,United States,A — Industrial/turnaround,Crane & Rigging,,58,No,,,,CAM Buyers Guide – Crane Rental category,https://www.cambuyersguide.com/listings/category/21600-crane-rental,"BRONZE member. ""Laramie Enterprises, Inc."" listed separately in same category. | ENRICH 2026-07-28: laramiecrane.com brands itself ""Laramie Enterprises, Inc."" (48400 West Road, Wixom MI) — likely the same operating group, VERIFY before treating as distinct from the Laramie Enterprises record. No email and no named staff published."
The Talbot Corporation,talbotelectric.com,https://talbotelectric.com,(734) 261-3440,Livonia,MI,United States,B — Commercial/industrial trade,Electrical,,59,No,,,steve@talbotelectric.com,SMCNECA member list,https://www.smcneca.org/members,"ENRICH 2026-07-28: https://talbotelectric.com/about publishes William A. Talbot Founder; Stephen W. Talbot P.E. Chairman; Michael Talbot President; Dane Moxlow V.P. Trenton Forging. No safety/EHS or operations role published. steve@talbotelectric.com is the ONLY email printed on the site (appears on home and /contact as the general contact address) — recorded as company email; it is NOT printed next to any person's name, so deliberately not attributed to Stephen Talbot. Fax 734.261.3571. Design/build since 1971."
R L Bondy Insulation LLC,bondy-insulation.com,https://bondy-insulation.com/,,Sterling Heights,MI,United States,A — Industrial/turnaround,Insulation,,70,No,,,,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"Status shown: ""approved under $50k"". No phone or description in source. Possibly related to R.L. Bondy (Northwood, OH) — verify."
Niles Industrial Coatings,nilesindustrial.com,https://nilesindustrial.com,(810) 714-5922,Fenton,MI,United States,A — Industrial/turnaround,Industrial Cleaning & Coatings,industrial coatings,83,No,,,info@nilesindustrial.com,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Industrial coatings"". Contact shown on source: Eric Hotchkiss (2019 data — verify). | ENRICH 2026-07-28: Official site nilesindustrial.com. Company /safety/ page publishes a single named safety contact, James Hall, as a mailto link (jameshall@nilesindustrial.com) — no job title printed, so Title left blank. HQ 201 S Alloy Dr, Fenton MI, (810) 593-7000; Midland office (989) 638-9664. General inbox info@nilesindustrial.com. Eric Hotchkiss not found on current site."
H Hanson Industries Inc,,,,Toledo,OH,United States,A — Industrial/turnaround,Boilermaker,,70,Yes,,,,MCA of NW Ohio signatory contractors,https://mcanwo.org/mca-signatory-contractors/,"Named in the Boilermaker Contractors section as an Ohio-based entry. | ENRICH 2026-07-28: no company website found; correct spelling appears to be H Hansen Industries, 2824 N Summit St, Toledo OH. No public contact page."
"American Mechanical Insulation Sales, Inc.",americaninsulation.com,https://americaninsulation.com/,(248) 478-7644,,MI,United States,A — Industrial/turnaround,Insulation,,58,No,,,sales@AmericanInsulation.com,CAM Buyers Guide – Insulation Contractors category,https://www.cambuyersguide.com/listings/category/44500-insulation-contractors,GOLD member. Category page showed name only.
"NexGen Mechanical, LLC",nexgen-mechanical.com,https://nexgen-mechanical.com,(419) 707-4770,Burgoon,OH,United States,B — Commercial/industrial trade,Mechanical,,55,No,,,,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"ENRICH 2026-07-28: Found official site https://nexgen-mechanical.com — confirms Burgoon OH address (1931 CR 84, Burgoon, OH 43407) and phone 419-707-4770. No names, titles or email addresses published anywhere on the site; /contact and /contact-us both 404. Not in MCA NW Ohio directory. NO CONTACT FOUND."
"Dimech Services, Inc.",dimech.com,https://www.dimech.com,(419) 727-0111,Toledo,OH,United States,A — Industrial/turnaround,Mechanical,mechanical / industrial,87,Yes,,,,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"Services: Mechanical, Industrial, Plumbing, HVAC, Refrigeration. Also on MCA NWO pipe-welding contractor list | ENRICH 2026-07-28: Ron Sheahan listed on dimech.com/staff.php as the contact for 'Plumbing, HVACR/Maintenance' with a live mailto rjsheahan@dimech.com. NO job title printed — Title left blank deliberately. No safety/EHS contact and no general company inbox published on the site."
"Vision Electric, Inc.",visionelectric.us,https://www.visionelectric.us,(248) 552-9740,Novi,MI,United States,B — Commercial/industrial trade,Electrical,,59,No,,,info@visionelectric.us,ABC Southeastern Michigan member directory (PDF),https://static1.squarespace.com/static/627041bf945c7320b8e0eb78/t/62d6cea14ea9b658391de175/1658244770101/ABC+SEMI+Member+Directory.pdf,"Division 26 – Electrical. | ENRICH 2026-07-28: John Talbot, Master Electrician — founder who incorporated the company in 1998; the only person named anywhere on the site (https://visionelectric.us/about-us/). No safety/EHS or operations role published. info@visionelectric.us and 248.552.9740 printed on https://visionelectric.us/contact-us/ (phone matches record). Site also carries a /certifications/ page. Note: no relation established to The Talbot Corporation (Livonia) despite the shared surname."
Titan Mechanical,titan-mechanical-inc.com,https://titan-mechanical-inc.com,(419) 261-1688,Haskins,OH,United States,B — Commercial/industrial trade,Piping & Plumbing,,59,Yes,,,,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"Services: Mechanical, Plumbing, HVAC. Also on MCA NWO pipe-welding list. | ENRICH 2026-07-28: NEAR MISS ON SAFETY — /about-us/safety states Titan 'maintains a dedicated Safety Director to oversee safety program development and execution' but does NOT name that person. /about-us/our-team lists 19 names with titles, no safety role, and exactly one email (Carson Frey, VDC, carsonf@titan-mechanical-inc.com). Highest-priority available = John Gray, President; no email published for him. Site phone is (419) 823-9121 (16192 King Road, Haskins OH 43525; fab shop 850 Carpenter Rd, Defiance OH) which differs from the stored (419) 261-1688 — though the MCA NWO directory also lists 419-261-1688, so both appear valid."
Shaw Electric Company,shawelectric.com,https://shawelectric.com,(248) 228-2000,Southfield,MI,United States,B — Commercial/industrial trade,Electrical,,59,Yes,,,,SMCNECA member list,https://www.smcneca.org/members,"Shaw Systems & Integration, Inc. listed separately at same phone. MI NECA also lists a Shaw Electric Company in Ann Arbor. | ENRICH 2026-07-28: Stephanie Reinke, Risk Manager, quoted on own safety page (https://www.shawelectric.com/safety/) — closest published role to a safety director; no safety-director title exists on site. Careers page https://www.shawelectric.com/careers/ publishes Robert Minielly, President/CEO, email rminielly@shawelectric.com (literally printed) — use as alternate. No general company inbox published anywhere. MI NECA lists a separate Shaw Electric at 4177 Varsity Dr, Ann Arbor, 734-447-6800, contact Dan Cervenan (no title given)."
Ferndale Electric Co.,ferndale-electric.com,https://www.ferndale-electric.com,(248) 545-4404,Madison Heights,MI,United States,B — Commercial/industrial trade,Electrical,,73,Yes,,,,SMCNECA member list,https://www.smcneca.org/members,"Union NECA/IBEW signatory. | ENRICH 2026-07-28: Leadership published on https://www.ferndale-electric.com/about/this-is-us/ — Vince Richards, President (selected); also John M. Hillock P.E., CEO; John Toloff C.P.A., CFO; Nick Phillips, VP of Construction; Todd Yoas, VP of Technologies. NO safety director or EHS person is named — /about/why-ferndale-electric/ and /licenses-certifications-affiliations/ both checked; they reference a safety manual only. NO email captured: the /contact/ page's RFP/RFQ address is rendered obfuscated ('[email protected]') so nothing was recorded. 31750 Sherman Ave, Madison Heights MI 48071."
Erie Welding & Mechanical Inc.,erieweldingandmechanical.com,https://erieweldingandmechanical.com,(734) 848-8361,Erie,MI,United States,A — Industrial/turnaround,Welding & Fabrication,welding / mechanical,87,Yes,,,info@erieweldingandmechanical.com,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"Toledo-area UA Local 50 signatory just over the Michigan line | ENRICH 2026-07-28: Official site erieweldingandmechanical.com. /about-us/staff/ names John Burlen (founder, owner and operator), Mike Binder (estimator and project manager) and Randy Burlen (foreman/welder/pipefitter) — no emails shown beside names. Contact page publishes info@ and binder@erieweldingandmechanical.com; binder@ not explicitly attributed to a person on-page so not recorded as an individual email. 9776 S Dixie Hwy, Erie MI 48133."
DUFFEY CONCRETE CUTTING AND DRILLING COMPANY LLC.,duffeyconcrete.com,https://www.duffeyconcrete.com,(419) 241-1010,Toledo,OH,United States,A — Industrial/turnaround,Concrete & Restoration,concrete cutting & drilling,91,Yes,,,,AGC of NW Ohio contractor directory,https://agcnwo.com/contractors,"Signatory. Also listed on UA Local 50 contractor list under 'Specialty' | ENRICH 2026-07-28: About page reads 'under the ownership of Zach Donley and Dave Donley' — no formal job title is printed, so Contact Title left blank (owner is implied, not published as a title). zach@duffeyconcrete.com is printed on both /about and /contact. No general company inbox published."
"Triton Electrical Services, LLC",tritonelectricalservices.com,https://tritonelectricalservices.com,(586) 944-2274,St. Clair Shores,MI,United States,B — Commercial/industrial trade,Electrical,,59,No,,,contact@tritonscs.com,SMCNECA member list,https://www.smcneca.org/members,"Also in ABC SEMI directory Division 26 as ""Triton Electrical Services"", Saint Clair Shores. | ENRICH 2026-07-28: CORRECTION — stored www.tritonscs.com 302-redirects to tritonelectricalservices.com (a GoDaddy one-page site); Website field updated to the live destination. Two emails printed: contact@tritonscs.com (general) and estimates@tritonscs.com (bid requests) — note the mail domain is still tritonscs.com. No named people; no about/team/safety pages exist on the site. 24520 Harper Ave, St. Clair Shores MI 48080; phone matches. Licensed & insured since 2010."
"JGM Machinery Movers & Erectors, Inc.",,,(810) 631-8816,Otisville,MI,United States,A — Industrial/turnaround,Millwright,,73,No,,,,ABC Southeastern Michigan member directory (PDF),https://static1.squarespace.com/static/627041bf945c7320b8e0eb78/t/62d6cea14ea9b658391de175/1658244770101/ABC+SEMI+Member+Directory.pdf,Division 01 – General Requirements. Rigging/millwright profile. | ENRICH 2026-07-28: no company-owned website found; several directories list the Otisville location as CLOSED — verify the company is still trading before outreach.
LMM,lmm.us,https://lmm.us,(844) 330-3305,,MI,United States,A — Industrial/turnaround,Crane & Rigging,,58,No,,,sales@lmm.us,CAM Buyers Guide – Machinery Moving Rig. & Erect. category,https://www.cambuyersguide.com/listings/category/49400-machinery-moving-rig-erect,"Also under Crane Rental. Name only on category page — low-confidence record, verify. | ENRICH 2026-07-28: CONFIRMED = LMM / Lee Machinery Movers, 675 Cesar E Chavez Ave, Pontiac MI. No named staff published on site."
SET Environmental,setenv.com,https://setenv.com,(616) 235-1500,Grand Rapids,MI,United States,A — Industrial/turnaround,Industrial Cleaning & Coatings,industrial cleaning,83,No,,,,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Industrial cleaning, transportation and disposal"" — confined space / HAZWOPER profile. | ENRICH 2026-07-28: Official site is setenv.com (SET Environmental, corporate HQ Wheeling IL; Grand Rapids MI listed as 'SET Grand Rapids' on /locations/). Site is JavaScript-gated — /contact-us/, /locations/ and /history/ all returned only a redirect stub, so no names, titles or emails could be read. Only figure visible: 24/7 emergency line (877) 437-7455. Needs a manual browser visit."
HENRY GURTZWEILER INC.,ohiosteelerectors.com,https://www.ohiosteelerectors.com,(419) 729-3955,Toledo,OH,United States,A — Industrial/turnaround,Steel Erection,,91,Yes,,,,AGC of NW Ohio contractor directory,https://agcnwo.com/contractors,"'Steel Erection Contractor', Signatory. AGC of Ohio Buyers Guide lists it as steel erection and concrete reinforcement, website henrygsteel.com"
"Metcalf Electric, Inc.",metcalfelectricalinc.com,https://www.metcalfelectricalinc.com,(810) 275-2882,Davison,MI,United States,B — Commercial/industrial trade,Electrical,,55,Yes,,,Metcalfelectric@hotmail.com,MI NECA member list (Flint Division),https://michiganneca.org/neca-members/,"ENRICH 2026-07-28: Website was blank — added https://www.metcalfelectricalinc.com, the site MI NECA publishes for Metcalf Electric, Inc., 1312 N Irish Rd. Unit A, Davison MI. Contact name 'Scott Kulhanek' from that MI NECA directory page; no title published. Company inbox Metcalfelectric@hotmail.com printed on the site homepage. NOT ATTRIBUTED: the site's /contact_us.html also prints scott@metcalfelectricalinc.com with no surname or title — very likely Scott Kulhanek but not stated, so left out of Contact Email. DATA NOTE: site prints phone (810) 262-0819 / fax (810) 374-7949, while MI NECA and the stored record both show (810) 275-2882 — stored phone kept, verify."
RAM CONSTRUCTION,ramservices.com,https://ramservices.com,(419) 593-0031,Toledo,OH,United States,A — Industrial/turnaround,Roofing,restoration / waterproofing,91,Yes,,,contact@ramservices.com,AGC of NW Ohio contractor directory,https://agcnwo.com/contractors,"'Restoration, Waterproofing & Infrastructure', Signatory | ENRICH 2026-07-28: STRONG FIT — Greg Bridwell, Director of Safety, published on ramservices.com/leadership. No individual emails printed; general contact@ramservices.com and bids@ramservices.com are. Toledo office 27 Broadway St Ste 100B, 419-593-0031. Old Website value (/contact/toledo-ohio) was a 404 — corrected to root domain."
"Dickerson Mechanical, Inc.",,,(810) 653-7290,Davison,MI,United States,B — Commercial/industrial trade,Mechanical,,55,No,,,,Michigan MCA member list,https://www.michiganmca.org/members,"ENRICH 2026-07-28: No company website exists (searched; only aggregator/social listings). Contact taken from the Michigan MCA member directory, which prints 'Kristine Menzing / kristine@dmimail.net / 810-653-7290'. NO job title published — Title left blank."
Positive Trades Group LLC,positivetradesgroup.com,https://positivetradesgroup.com,(419) 868-7841,Holland,OH,United States,A — Industrial/turnaround,Mechanical,mechanical / industrial,101,Yes,,,,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"Services: Mechanical, Industrial, Plumbing, HVAC. MCA NWO signatory member | ENRICH 2026-07-28: /about publishes a staff list with direct emails: Kurt Deal, President, kurt.deal@positivetradesgroup.com x204; Rod Fry, Vice President, rod.fry@; Jennifer Wymer, Accounting Manager, jenny.wymer@. No safety/EHS role published. /contact lists OH 419.865.6171 and MI 517.795.1469; no general inbox."
Beyerlein Electric,,,(989) 737-5167,Reese,MI,United States,B — Commercial/industrial trade,Electrical,,55,No,,,,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Temperature Controls, Electrical"". | ENRICH 2026-07-28: NOTHING FOUND. WebSearch returned no company-owned domain for Beyerlein Electric (Reese MI) — only aggregators (manta, buildzoom, bluebook, birdeye, porch), which are excluded as sources. No website, no contact name, no email recorded. Note: a separate entity 'Beyerlein and Son Electric LLC' also exists in Reese MI — do not conflate."
"Gee & Missler, Inc.",geeandmissler.com,https://www.geeandmissler.com,(734) 284-1224,Wyandotte,MI,United States,B — Commercial/industrial trade,HVAC & Controls,,65,No,,,,ABC Southeastern Michigan member directory (PDF),https://static1.squarespace.com/static/627041bf945c7320b8e0eb78/t/62d6cea14ea9b658391de175/1658244770101/ABC+SEMI+Member+Directory.pdf,"Division 23 – HVAC. Downriver industrial corridor. | ENRICH 2026-07-28: Official site located and added: geeandmissler.com (744 Vinewood St, Wyandotte MI 48192; phone 734-284-1224 matches record; MI license 7112514). /contact-us and /about publish NO names or titles, and the only email is JS-obfuscated ('[email protected]') so nothing was capturable. No contact recorded."
"Bodie Mechanical Services, Inc",bodieserv.com,https://bodieserv.com,(419) 595-4055,Findlay,OH,United States,A — Industrial/turnaround,Mechanical,mechanical / industrial,87,No,,,service@bodieserv.com,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"Services: Mechanical, Industrial, Plumbing, Refrigeration. Also in Findlay Chamber electrical contractors list, phone (419) 595-4224 | ENRICH 2026-07-28: /contact prints Ben Reinhart (President) b.reinhart@bodieserv.com, Jen Carver (general inquiries) j.carver@bodieserv.com, Jason Wheeler (Estimating). General inboxes service@bodieserv.com and mechbids@bodieserv.com. No safety/EHS role published; /about has no names."
"William F. Nelson Electric, Inc.",wfnelson.com,https://www.wfnelson.com,(989) 752-7184,Saginaw,MI,United States,B — Commercial/industrial trade,Electrical,,69,Yes,,,info@wfnelson.com,MI NECA member list (Saginaw Division),https://michiganneca.org/neca-members/,"Union NECA/IBEW signatory. | ENRICH 2026-07-28: WEBSITE FOUND (field was blank): wfnelson.com (trades as 'Wm. F. Nelson Electric'). info@wfnelson.com printed on home and /about.php; phone (989) 752-7184 matches record. Own site publishes NO staff names or titles and has no safety page. Ryan Nelson listed as the company contact on the MI NECA association directory — NO title published there, so Contact Title deliberately left blank. Address 111 Hoyt St, Saginaw MI 48607. Commercial/institutional, industrial and residential divisions; founded 1929."
Scaffolding Incorporated,scaffoldinginc.com,https://www.scaffoldinginc.com,(313) 883-1800,Detroit,MI,United States,A — Industrial/turnaround,Scaffolding,,65,No,,,,CAM Buyers Guide listing,https://www.cambuyersguide.com/listings/17611-0-scaffolding-incorporated,"Address: 135 E. McNichols, Detroit, MI 48203. Alt phone 313-883-4752. Categories: Scaffolding, Hoist Towers, Hoists, Swing Staging. | ENRICH 2026-07-28: scaffoldinginc.com loads but publishes no names, emails or contact page (all /contact variants 404 or time out)."
Chapman Power Systems,,,(810) 239-3073,Flint,MI,United States,B — Commercial/industrial trade,Electrical,,55,No,,,,ABC Southeastern Michigan member directory (PDF),https://static1.squarespace.com/static/627041bf945c7320b8e0eb78/t/62d6cea14ea9b658391de175/1658244770101/ABC+SEMI+Member+Directory.pdf,"Division 26 – Electrical. | ENRICH 2026-07-28: NOTHING FOUND. No company-owned domain located for Chapman Power Systems LLC (Flint MI) — WebSearch returned only aggregators (bluebook, buildzoom, yellowpages, BBB, manta) which are excluded as sources. No website, contact name, or email recorded."
